countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,"Deal value
m EUR",Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Total deal value for Acquired stake (%)0_10,Total deal value for Acquired stake (%)_10_20,Total deal value for Acquired stake (%)_20_30,Total deal value for Acquired stake (%)_30_40,Total deal value for Acquired stake (%)_40_50,Total deal value for Acquired stake (%)_0_25,Total deal value for Acquired stake (%)_25_50,Total deal value for Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
AU,2000,9570515.0,-0.23487426160726482,0.0,66.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
AU,2001,177462529.0,-1.6683215644996323,31833893.0,2596.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
AU,2002,2240107801.0,-5.53827466831831,58104174.0,54528.0,189.35,1,1,0,0,0,2,0,2,7.25,182.1,0.0,0.0,0.0,189.35,0.0,189.35,1,1,0,0,0,2,0,,,
AU,2003,2148999803.0,11.266107892773807,113983009.0,62402.0,140.60999999999999,6,6,0,0,0,12,0,12,61.78,78.83,0.0,0.0,0.0,140.60999999999999,0.0,140.60999999999999,4,8,0,0,0,12,0,,,
AU,2004,3900684525.0,33.93875468044382,109242462.0,60358.0,60.4,15,2,0,0,0,16,0,16,51.32,9.08,0.0,0.0,0.0,53.04,0.0,53.04,6,8,1,1,0,15,1,,,
AU,2005,6745036979.0,-16.396753191101208,151954630.0,90990.0,238.85999999999999,24,3,0,0,0,23,0,23,225.85,13.01,0.0,0.0,0.0,187.82,0.0,187.82,12,7,3,1,0,22,1,,,
AU,2006,8032743297.0,-20.794194186345408,229087810.0,88835.0,1090.51,27,6,1,0,0,25,0,25,734.51,333.2,11.94,0.0,0.0,1023.53,0.0,1023.53,10,14,1,0,0,25,0,56.666666666667,,
AU,2007,9844144998.0,-24.481524023272815,239646523.0,52727.0,810.28,40,5,0,0,0,41,0,41,745.3,64.98,0.0,0.0,0.0,753.62,0.0,753.62,21,19,0,1,0,40,1,56.666666666667,,
AU,2008,5739047992.0,-24.717010296241984,190373465.0,31152.0,335.21000000000004,4,4,0,0,0,7,0,7,11.72,308.17,0.0,0.0,0.0,316.81,0.0,316.81,3,4,0,0,0,7,0,56.666666666667,,
AU,2009,4334821780.0,-24.018204977444427,226779421.0,27589.0,329.79,10,3,1,0,0,14,0,14,314.38,8.69,6.72,0.0,0.0,329.79,0.0,329.79,9,4,1,0,0,14,0,56.666666666667,,
