countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
AU,1999,21425741.0,-0.3116019634947165,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AU,2000,16379674.0,-1.246407853978866,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,,,
AU,2001,4473508478.0,-2.387897573424453,21289414.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AU,2002,5978650900.0,-5.708353437759731,32382678.0,9147.0,2,0,0,0,0,2,0,2,1,1,0,0,0,2,0,,,
AU,2003,33362886948.0,8.121458757980351,2518083042.0,92747.0,16,1,1,0,0,16,0,16,7,7,1,1,0,15,1,,,
AU,2004,20487651484.0,30.975896050283723,476013080.0,125845.0,16,2,2,0,0,16,1,17,7,8,1,1,0,16,1,,,
AU,2005,30537470322.0,0.8192889747816341,71756778.0,293419.0,19,2,0,0,1,16,1,17,8,7,1,0,1,16,1,,,
AU,2006,39023758012.0,-14.148826041363852,260258730.0,257223.0,14,1,1,1,0,13,2,15,7,4,3,1,0,11,4,56.666666666667,,
AU,2007,72337730780.0,-7.730147269947878,467567443.0,283359.0,41,5,3,1,0,38,3,41,11,17,9,3,1,34,7,56.666666666667,,
AU,2008,72123989615.0,-16.209036683108245,491718572.0,244592.0,13,5,0,0,0,14,0,14,5,8,1,0,0,14,0,56.666666666667,,
AU,2009,57601650934.0,-32.98830779864871,365618307.0,148659.0,6,4,3,1,0,11,3,14,4,5,2,1,2,11,3,56.666666666667,,
AU,2010,75102172241.0,4.311204212985011,202095111.0,159359.0,10,2,0,0,0,10,0,10,5,4,1,0,0,10,0,56.666666666667,,
AU,2011,66538545184.0,10.416517572822537,177985217.0,119087.0,15,0,0,0,0,15,0,15,10,3,1,1,0,13,2,56.666666666667,,
AU,2012,69445472658.0,-11.190313260822771,536017246.0,173015.0,18,3,0,0,0,21,0,21,12,9,0,0,0,21,0,56.666666666667,,
AU,2013,63995401776.0,-30.9766920585876,438006909.0,171971.0,49,2,1,0,0,48,1,49,32,15,1,1,0,47,2,56.666666666667,,
AU,2014,62290621137.0,-34.05449618216617,269956740.0,171793.0,30,1,0,0,0,31,0,31,22,9,0,0,0,31,0,64.0,,
AU,2015,47820436749.0,-15.04161844505482,184708728.0,97095.0,1,1,1,1,0,3,1,4,1,1,1,1,0,3,1,64.0,,
AU,2016,22021512351.0,-31.284853273252526,114417722.0,88124.0,3,3,1,1,0,6,2,8,2,4,1,1,0,6,2,64.0,,
AU,2017,30578509806.0,-39.44168064068855,68025987.0,80620.0,5,4,1,0,0,9,1,10,3,4,2,1,0,7,3,64.0,,
AU,2018,32718670380.0,-30.19444813080835,76591340.0,79861.0,11,1,0,0,0,12,0,12,10,2,0,0,0,12,0,64.0,,
