countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
AU,2000,45003328.0,2.93,1597941.0,531.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,,,
AU,2001,1391305843.0,26.32,56655628.0,43508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AU,2002,14817832554.0,188.32,193352416.0,195414.0,2,1,0,0,0,3,0,3,1,2,0,0,0,3,0,,,
AU,2003,27734741753.0,1038.08,972191559.0,455243.0,85,4,2,0,0,76,1,77,53,16,6,1,1,74,3,,,
AU,2004,41808634940.0,1317.72,1020704127.0,647983.0,121,6,1,0,0,105,1,106,65,37,3,1,0,103,3,,,
AU,2005,71719820511.0,1219.85,721695710.0,1792467.0,302,2,0,0,0,217,0,217,161,50,2,3,1,213,4,,,
AU,2006,83690296919.0,1369.12,1842429344.0,1204469.0,309,1,1,0,0,204,0,204,143,57,4,0,0,202,2,56.666666666667,,
AU,2007,121950151899.0,1432.6,1063368431.0,982089.0,464,16,2,1,0,329,2,331,213,102,11,4,1,324,7,56.666666666667,,
AU,2008,93221945032.0,1093.34,1651003626.0,646787.0,84,8,1,0,0,58,0,58,33,21,4,0,0,56,2,56.666666666667,,
AU,2009,91688211905.0,1183.89,1539358291.0,538275.0,118,12,3,0,0,94,2,96,77,14,2,1,2,93,3,56.666666666667,,
AU,2010,97201831332.0,1069.08,1380470111.0,533608.0,240,9,0,0,0,182,0,182,125,49,6,1,1,180,2,56.666666666667,,
AU,2011,89943485371.0,976.12,1237460193.0,510300.0,220,6,0,0,0,211,0,211,147,59,5,0,0,209,2,56.666666666667,,
AU,2012,132000421390.0,1176.02,1755060910.0,1198507.0,534,11,1,0,0,468,1,469,384,82,2,0,1,467,2,56.666666666667,,
AU,2013,126379978344.0,1812.15,2410546506.0,1487221.0,709,2,0,1,0,624,1,625,514,99,7,3,2,619,6,56.666666666667,,
AU,2014,85021894939.0,1498.51,3076335876.0,807173.0,416,12,1,0,0,382,1,383,286,94,3,0,0,380,3,64.0,,
AU,2015,68083580609.0,1872.28,1709897568.0,808961.0,158,3,1,2,0,153,2,155,128,24,0,2,1,152,3,64.0,,
AU,2016,65304645431.0,1864.94,967360822.0,490717.0,94,4,0,0,0,94,0,94,74,20,0,0,0,94,0,64.0,,
AU,2017,74873813381.0,2068.13,773233636.0,481631.0,56,7,1,0,0,62,1,63,44,16,1,1,1,60,3,64.0,,
AU,2018,90344393352.0,2043.82,763135919.0,444407.0,151,6,0,0,0,143,0,143,116,23,0,3,1,139,4,64.0,,
AU,2019,81822666044.0,1873.2,715350662.0,445367.0,140,3,0,0,0,130,0,130,98,30,1,1,0,129,1,64.0,,
AU,2020,44453740399.0,1217.97,699402659.0,154289.0,137,6,0,0,0,127,0,127,94,32,1,0,0,126,1,64.0,,
BG,2004,14875000.0,0.0,0.0,1635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
BG,2005,21890000.0,0.0,0.0,1768.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
BG,2006,19002000.0,0.0,0.0,1834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2007,28580000.0,0.0,0.0,1843.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2008,30884000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2009,56518410.0,0.0,0.0,2504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2010,87598265.0,0.0,0.0,4285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2011,62040259.0,0.0,0.0,2558.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,63.333333333333,,
BG,2012,167022423.0,0.0,0.0,4329.0,4,0,0,1,0,4,1,5,4,0,0,0,1,4,1,63.333333333333,,
BG,2013,228204922.0,0.0,0.0,11471.0,16,2,1,1,0,18,2,20,5,7,5,3,0,14,6,63.333333333333,,
BG,2014,201694581.0,0.0,0.0,7454.0,8,0,0,2,0,8,2,10,8,0,0,2,0,8,2,74.0,,
BG,2015,458698951.0,0.0,0.0,14884.0,3,1,0,0,0,4,0,4,3,1,0,0,0,4,0,74.0,,
BG,2016,258527897.0,0.0,0.0,14776.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,,
BG,2017,248289487.0,0.0,0.0,15235.0,4,1,0,0,0,3,0,3,2,0,0,0,1,2,1,74.0,,
BG,2018,214330051.0,0.0,0.0,15577.0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,74.0,,
BG,2019,285708056.0,0.0,0.0,3474.0,1,0,0,0,1,1,1,2,1,0,0,0,1,1,1,74.0,,
CA,1994,-699463.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1995,1160339.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1996,529204997.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1997,503883602.0,0.56,796002.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1998,272742855.0,0.79,1356817.0,1500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1999,957022243.0,89.18,60257874.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,2000,2659143770.0,51.25,141696938.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,2001,4208396829.0,83.16,228519139.0,0.0,1,1,0,0,0,2,0,2,0,2,0,0,0,2,0,,,
CA,2002,3512113393.0,98.94,297924038.0,1641.0,2,0,0,0,0,2,0,2,0,1,1,0,0,1,1,,,
CA,2003,6328821853.0,335.71999999999997,409817248.0,4300.0,4,5,1,1,0,10,1,11,1,5,1,2,2,7,4,,,
CA,2004,8391922153.0,386.46,253240553.0,4100.0,5,1,0,0,0,6,0,6,2,2,1,1,0,5,1,,,
CA,2005,12709137513.0,592.9399999999999,295712028.0,3500.0,13,2,0,1,0,14,1,15,4,6,3,1,1,11,4,,,
CA,2006,13195577495.0,595.55,436933898.0,12799.0,20,0,0,0,0,20,0,20,7,13,0,0,0,20,0,83.333333333333,,
CA,2007,13297900683.0,558.86,459711263.0,5873.0,60,1,1,0,0,61,1,62,16,43,3,0,0,61,1,83.333333333333,,
CA,2008,17838677981.0,510.33000000000004,540258511.0,33103.0,55,1,1,0,0,56,0,56,11,36,4,4,1,49,7,83.333333333333,,
CA,2009,8540140095.0,498.3,864992902.0,17860.0,37,1,1,0,0,39,0,39,7,27,3,1,1,34,5,83.333333333333,,
CA,2010,13385565413.0,520.8399999999999,1050996312.0,30714.0,13,3,0,0,0,16,0,16,2,10,1,2,1,12,4,83.333333333333,,
CA,2011,16316818767.0,441.18,1365511801.0,15531.0,14,1,1,0,0,16,0,16,3,8,2,0,3,12,4,83.333333333333,,
CA,2012,14046853144.0,334.34,1634281419.0,41860.0,10,2,0,0,0,12,0,12,2,5,2,1,2,9,3,83.333333333333,,
CA,2013,11974383843.0,604.78,1514259553.0,43754.0,8,2,0,0,0,10,0,10,0,6,3,1,0,8,2,86.666666666667,,
CA,2014,12380792777.0,359.92,1366554390.0,162495.0,11,1,0,1,0,12,1,13,3,7,1,1,1,11,2,82.0,,
CA,2015,14925184894.0,332.69,1207023963.0,110819.0,12,5,0,0,0,17,0,17,4,10,2,1,0,16,1,82.0,,
CA,2016,15419211096.0,292.04,1131373849.0,188067.0,8,0,0,0,0,8,0,8,0,4,2,2,0,4,4,82.0,,
CA,2017,16141881376.0,260.82,923852766.0,304041.0,5,1,0,0,0,6,0,6,2,3,1,0,0,5,1,82.0,,
CA,2018,15464438471.0,233.19,893102333.0,170363.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,82.0,,
CA,2019,13902795318.0,233.48000000000002,942805643.0,117824.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,82.0,,
CA,2020,2639836375.0,56.17,567931812.0,18068.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,,
CN,1999,4092529.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CN,2000,11562051.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CN,2001,72201716.0,0.0,0.0,3295.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CN,2002,15893969639.0,51.09,283546000.0,654439.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CN,2003,18120336621.0,13.99,294534000.0,743356.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,,,
CN,2004,54345231082.0,21.55,659936000.0,2654358.0,10,8,8,0,0,20,6,26,8,7,11,0,0,18,8,,,
CN,2005,77132345691.0,104.01,811886000.0,2628649.0,19,9,8,1,1,30,8,38,13,12,10,0,3,28,10,,,
CN,2006,80640960313.0,86.4,1005696000.0,3008341.0,13,10,14,1,0,31,7,38,8,8,16,2,4,23,15,43.333333333333,,
CN,2007,65647930329.0,79.18,797536000.0,3384207.0,16,11,11,2,0,33,7,40,8,10,17,3,2,28,12,50.0,,
CN,2008,75222576714.0,183.4,1468772000.0,3891437.0,55,8,5,3,2,64,8,72,28,14,10,12,8,46,26,50.0,,
CN,2009,100915210944.0,284.56,2958910650.0,5327446.0,46,11,6,3,4,61,9,69,19,14,26,5,6,57,13,50.0,,
CN,2010,115856518202.0,979.09,4727191311.0,5049573.0,28,12,3,0,1,42,2,44,19,13,6,4,2,35,9,50.0,,
CN,2011,139600395960.0,1575.49,7144884100.0,5683903.0,43,4,0,1,1,47,2,49,14,12,8,7,8,31,18,50.0,,
CN,2012,138259966908.0,2829.85,8304992739.0,5902133.0,38,4,0,0,1,42,1,43,6,10,6,12,9,20,23,50.0,,
CN,2013,149571391827.0,3663.43,9641958810.0,6182923.0,54,2,1,0,0,57,0,57,19,11,9,12,6,36,21,50.0,,
CN,2014,200575429621.0,7613.93,13171765177.0,6845867.0,102,19,4,3,1,123,6,129,48,38,19,9,15,95,34,52.0,,
