Coutry ;Year ;Reform;Country code
Afghanistan;2019;Afghanistan strengthened minority investor protections by requiring greater disclosure of transactions with interested parties, easing shareholder suits by extending access to documents and evidence during trial, increasing shareholders’ rights and role in major corporate decisions, clarifying ownership and control structures and requiring greater corporate transparency;AF
Albania;2016;Albania strengthened minority investor protections by introducing legal requirements for immediate disclosure of related-party transactions to the public.;AL
Albania;2009;Albania strengthened investor protections by introducing approval and disclosure requirements for related-party transactions and by reinforcing directors’ duties and available remedies in cases where related-party transactions are harmful to the company.;AL
Armenia;2020;Armenia strengthened minority investor protections by requiring an independent review and immediate disclosure to the public of related party transactions, increasing shareholders’ rights and role in major corporate decisions, and clarifying ownership and control structures.;AM
Armenia;2019;Armenia strengthened minority investor protections by increasing disclosure of related-party transactions, clarifying ownership and control structures and requiring greater corporate transparency.;AM
Armenia;2013;Armenia strengthened investor protections by introducing a requirement for shareholder approval of related-party transactions, requiring greater disclosure of such transactions in the annual report and making it easier to sue directors when such transactions are prejudicial.;AM
Azerbaijan;2020;Azerbaijan strengthened minority investor protections by imposing liability on directors for unfair related-party transactions.;AZ
Azerbaijan;2019;Azerbaijan strengthened minority investor protections by increasing shareholders’ rights and role in major corporate decisions, clarifying ownership and control structures and requiring greater corporate transparency.;AZ
Azerbaijan;2018;Azerbaijan strengthened minority investor protections by increasing shareholder rights and role in major corporate decisions, clarifying ownership and control structures and requiring greater corporate transparency.;AZ
Azerbaijan;2016;Azerbaijan strengthened minority investor protections by introducing requirements that related-party transactions undergo external review and be voted on by disinterested shareholders.;AZ
Azerbaijan;2009;Azerbaijan strengthened investor protections by introducing requirements on the approval of related-party transactions and expanding remedies available against liable directors.;AZ
Bahamas;2020;The Bahamas strengthened minority investor protections by increasing disclosure requirements for conflicts of interest, clarifying ownership and control structures, and requiring greater corporate transparency.;BS
Bahrain;2020;Bahrain strengthened minority investor protections by clarifying ownership and control structures.;BH
Bahrain;2019;Bahrain strengthened minority investor protections by increasing shareholders' right and role in major decisions, clarifying ownership and control structures and requiring greater corporate transparency.;BH
Benin;2015;Benin strengthened minority investor protections by introducing greater requirements for disclosure of related-party transactions to the board of directors and by making it possible for shareholders to inspect the documents pertaining to related-party transactions and to appoint auditors to conduct an inspection of such transactions.;BJ
Bhutan;2018;Bhutan strengthened minority investor protections by clarifying ownership and control structures but weakened minority investor protections by reducing shareholder rights.;BT
Botswana;2009;Botswana strengthened investor protections by introducing requirements for shareholder approval of related-party transactions and by allowing shareholders to sue directors where such transactions harm the company, and obtain payment for damages if successful.;BW
Cameroon;2015;Cameroon strengthened minority investor protections by introducing greater requirements for disclosure of related-party transactions to the board of directors and by making it possible for shareholders to inspect the documents pertaining to related-party transactions and to appoint auditors to conduct an inspection of such transactions.;CM
Central African Republic;2015;The Central African Republic strengthened minority investor protections by introducing greater requirements for disclosure of related-party transactions to the board of directors and by making it possible for shareholders to inspect the documents pertaining to related-party transactions and to appoint auditors to conduct an inspection of such transactions.;CF
Chad;2015;Chad strengthened minority investor protections by introducing greater requirements for disclosure of related-party transactions to the board of directors and by making it possible for shareholders to inspect the documents pertaining to related-party transactions and to appoint auditors to conduct an inspection of such transactions.;TD
Chile;2011;An amendment to Chile’s securities law strengthened investor protections by requiring greater corporate disclosure and regulating the approval of transactions between interested parties.;CL
China;2020;China strengthened minority investors protections by by imposing liability on controlling shareholders for unfair related-party transactions and clarifying ownership and control structures. This reform applies to both Beijing and Shanghai.;CN
China;2019;China strengthened minority investor protections by increasing shareholders' rights and role in major corporate decisions, clarifying ownership and control structures, and requiring reimbursement of legal expenses incurred by shareholders.;CN
Colombia;2010;Colombia strengthened investor protections by making it easier to sue directors when a related-party transaction harms the company.;CO
Colombia;2008;Colombia strengthened investor protections by increasing disclosure requirements for related-party transactions in the annual report.;CO
Congo, Dem.Rep;2015;The Democratic Republic of Congo strengthened minority investor protections by introducing greater requirements for disclosure of related-party transactions to the board of directors and by making it possible for shareholders to inspect the documents pertaining to related-party transactions and to appoint auditors to conduct an inspection of such transactions.;CG
Congo, Dem.Rep;2014;The Democratic Republic of Congo strengthened investor protections by adopting the OHADA Uniform Act on Commercial Companies and Economic Interest Groups, which introduces additional approval and disclosure requirements for related-party transactions and makes it possible to sue directors when such transactions harm the company.;CG
Costa Rica;2018;Costa Rica strengthened minority investor protections by allowing greater access to corporate information before and during trial and enhancing disclosure requirements, but weakened shareholder rights in certain major transactions.;CR
