,bvdid,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,type_of_entity,category_of_the_company,Deal_number,"Deal value
m EUR",Target country code,Acquiror country code,Acquired stake (%),Final stake (%)
0,RU05015331,2007,,0.0,0.0,94.0,Corporate,Very large company,16.0,,RU,RU,14.34,39.83000
1,RU05757676,2007,,,,,,,30.0,,RU,RU,4.67,10.65000
2,RU05757676,2007,,,,,,,8574.0,,RU,RU,4.72,5.37000
3,RU33556474,2007,805077000.0,0.78,13450000.0,,Corporate,Very large company,34.0,,RU,RU,25.0,25.00000
4,RU00126126,2007,,,,,,,44.0,,RU,RU,25.0,25.00000
5,RU00126126,2008,,,,,,,273.0,,RU,RU,15.2,15.20000
6,RU00126126,2009,,,,,,,301.0,,RU,RU,19.8,35.00000
7,RU00126126,2008,,,,,,,402.0,,RU,RU,10.0,10.00000
8,AU004458404,2007,7477077000.0,0.23,46872000.0,51677.0,Corporate,Very large company,45.0,,AU,AU,19.9,19.90000
9,AU004458404,2007,11122211629.0,0.23,46871838.0,51677.0,Corporate,Very large company,45.0,,AU,AU,19.9,19.90000
10,AU004458404,2007,8222271000.0,0.23,46872000.0,51677.0,Corporate,Very large company,45.0,,AU,AU,19.9,19.90000
11,AU004458404,2008,15771367000.0,0.53,220594000.0,105785.0,Corporate,Very large company,5319.0,12.35*,AU,AU,10.9,10.90000
12,AU004458404,2008,11959479919.0,0.56,220593627.0,,Corporate,Very large company,5319.0,12.35*,AU,AU,10.9,10.90000
13,AU004458404,2008,10148744000.0,0.57,220594000.0,105785.0,Corporate,Very large company,5319.0,12.35*,AU,AU,10.9,10.90000
14,JP6030001004272,2007,240730000.0,0.0,0.0,1745.0,Corporate,Very large company,58.0,,JP,JP,12.7,12.70000
15,RU05268977,2007,,,,,,,83.0,,RU,RU,5.0,5.00000
16,FR379067390,2008,,0.0,0.0,520.0,Corporate,Large company,93.0,,FR,FR,17.5,17.50000
17,SE5564739224,2008,2182243.0,0.0,0.0,3.0,Corporate,Large company,95.0,,SE,SE,20.0,20.00000
18,SE5564739224,2008,,0.0,0.0,3.0,Corporate,Large company,95.0,,SE,SE,20.0,20.00000
19,FR622019503,2007,21850000.0,0.0,0.0,1056.0,Mutual and pension fund/Nominee/Trust/Trustee,Very large company,97.0,,FR,FR,26.0,32.00000
20,AU090059564,2004,7675695.0,0.0,0.0,11.0,Corporate,Very large company,99.0,,AU,AU,46.5,46.50000
21,AU090059564,2004,7675695.0,0.0,0.0,11.0,Corporate,Very large company,100.0,,AU,AU,3.0,49.50000
22,IT11957540153,2008,1128000000.0,0.0,0.0,,Corporate,Very large company,107.0,,IT,IT,2.0,20.00000
23,DE5170123491,2008,318769000.0,0.0,0.0,4565.0,Corporate,Very large company,108.0,,DE,DE,48.65,48.65000
24,DE5170123491,2008,318769000.0,0.0,0.0,4565.0,Corporate,Very large company,189.0,,DE,DE,30.0,30.00000
25,DE5170123491,2016,835555000.0,0.0,0.0,7897.0,Corporate,Very large company,1060.0,107.50*,DE,DE,9.8,9.80000
26,DE5170123491,2017,1253674000.0,0.0,0.0,9414.0,Corporate,Very large company,1359.0,61.21,DE,DE,1.78,30.95000
27,DE5170123491,2017,1416399000.0,0.0,0.0,,Corporate,Very large company,1359.0,61.21,DE,DE,1.78,30.95000
28,DE2151308699,2008,1607000.0,0.0,0.0,15.0,Financial company,Very large company,110.0,,DE,DE,12.5,12.50000
29,DE6210013099,2007,,,,,,,113.0,,DE,DE,24.9,24.90000
30,AU122262819,2006,,,,,,,114.0,,AU,AU,20.0,20.00000
31,ESA83028035,2008,1185532000.0,0.0,0.0,1748.0,Corporate,Very large company,122.0,,ES,ES,49.0,49.00000
32,JP8120001072952,2008,6317057.0,2.52,1391759.0,371.0,Corporate,Very large company,139.0,,JP,JP,20.0,20.00000
33,RU07530238,2008,,0.0,0.0,7509.0,Corporate,Very large company,142.0,,RU,RU,25.1,25.10000
34,RU07502348,2007,,0.0,0.0,2900.0,Corporate,Very large company,143.0,,RU,RU,34.0,34.00000
35,RU17230282,2007,4579757679.0,0.0,0.0,,Corporate,Very large company,144.0,,RU,RU,49.017,49.01700
36,RU17230282,2004,4020313009.0,0.0,0.0,546000.0,Corporate,Very large company,8279.0,,RU,RU,49.0,49.00000
37,RU17230282,2004,4020313009.0,0.0,0.0,546000.0,Corporate,Very large company,8280.0,,RU,RU,49.0,49.00000
38,RU17230282,2007,4579757679.0,0.0,0.0,,Corporate,Very large company,8573.0,,RU,RU,10.54,10.54000
39,RU31074127,2008,,,,,,,146.0,,RU,RU,24.5,24.50000
40,RU31074127,2008,,,,,,,152.0,,RU,RU,9.43,33.93000
41,NL02045200,2008,4921000000.0,0.23,33000000.0,36702.0,Corporate,Very large company,151.0,,NL,NL,41.0,41.00000
42,NL02045200,2012,3774000000.0,0.0,0.0,26156.0,Corporate,Very large company,735.0,,NL,NL,12.5,12.50000
43,DE2011025844,2008,14339000.0,0.0,0.0,107.0,Corporate,Very large company,163.0,,DE,DE,25.1,25.10000
44,JP1011001025439,2007,3415000.0,0.0,0.0,123.0,Corporate,Very large company,171.0,,JP,JP,3.09,10.39000
45,JP1011001025439,2017,6410318.0,0.0,0.0,235.0,Corporate,Very large company,6240.0,0.71*,JP,JP,2.64,10.15000
46,JP1011001025439,2017,6401212.0,0.0,0.0,209.0,Corporate,Very large company,6240.0,0.71*,JP,JP,2.64,10.15000
47,JP3010401036044,2007,,0.0,0.0,162.0,Corporate,Very large company,188.0,,JP,JP,4.357,10.45000
48,JP3010401036044,2014,64641623.0,0.0,0.0,266.0,Corporate,Very large company,2108.0,6.25*,JP,JP,30.0,30.00000
49,JP3010401036044,2014,30586657.0,0.0,0.0,110.0,Corporate,Very large company,2108.0,6.25*,JP,JP,30.0,30.00000
